<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>
Isfahan.Steel,20171025,829.00,849.00,829.00,836.00,19293782680,23087897,1415,D,834.00
Isfahan.Steel,20171024,844.00,844.00,828.00,834.00,15272692047,18312780,1167,D,839.00
Isfahan.Steel,20171023,855.00,859.00,829.00,839.00,27509535208,32773258,2207,D,857.00
Isfahan.Steel,20171022,859.00,879.00,841.00,857.00,38415401030,44805113,2621,D,847.00
Isfahan.Steel,20171021,824.00,850.00,824.00,847.00,78823450934,93085669,4464,D,810.00
Isfahan.Steel,20171018,807.00,822.00,800.00,810.00,31532647414,38925304,2473,D,800.00
Isfahan.Steel,20171017,799.00,809.00,796.00,800.00,25034900887,31299096,1585,D,802.00
Isfahan.Steel,20171016,791.00,815.00,791.00,802.00,18721874096,23347008,1387,D,795.00
Isfahan.Steel,20171015,802.00,810.00,789.00,795.00,29579738593,37220358,2234,D,808.00
Isfahan.Steel,20171014,810.00,830.00,799.00,808.00,61259899893,75769947,3220,D,799.00
Isfahan.Steel,20171011,799.00,810.00,785.00,799.00,17469916793,21871324,1415,D,805.00
Isfahan.Steel,20171010,806.00,817.00,798.00,805.00,12878467612,16005474,1145,D,805.00
Isfahan.Steel,20171009,800.00,827.00,788.00,805.00,27170360879,33751536,1999,D,793.00
Isfahan.Steel,20171008,825.00,825.00,789.00,793.00,47648940332,60093715,3398,D,830.00
Isfahan.Steel,20171007,867.00,867.00,824.00,830.00,38146835846,45950395,2846,D,867.00
Isfahan.Steel,20171004,852.00,880.00,852.00,867.00,19910439460,22953663,1522,D,854.00
Isfahan.Steel,20171003,869.00,877.00,846.00,854.00,42190619120,49391784,3007,D,890.00
Isfahan.Steel,20171002,909.00,909.00,886.00,890.00,77525701825,87064304,4181,D,932.00
Isfahan.Steel,20170927,936.00,944.00,916.00,932.00,51237144403,54990958,2367,D,912.00
Isfahan.Steel,20170920,930.00,930.00,900.00,912.00,21326621944,23373182,1447,D,933.00
Isfahan.Steel,20170919,915.00,947.00,915.00,933.00,48497385472,51969358,3087,D,911.00
Isfahan.Steel,20170918,895.00,920.00,891.00,911.00,29571605834,32459466,1905,D,892.00
Isfahan.Steel,20170917,885.00,900.00,885.00,892.00,26544415507,29749413,1686,D,893.00
Isfahan.Steel,20170916,900.00,902.00,880.00,893.00,20848557269,23357793,1494,D,893.00
Isfahan.Steel,20170913,889.00,908.00,886.00,893.00,35616861390,39887815,2551,D,869.00
Isfahan.Steel,20170912,850.00,886.00,841.00,869.00,40386637639,46498618,3235,D,847.00
Isfahan.Steel,20170911,841.00,858.00,835.00,847.00,19804870373,23390394,1362,D,859.00
Isfahan.Steel,20170910,860.00,881.00,841.00,859.00,38493552674,44792649,2378,D,876.00
Isfahan.Steel,20170906,890.00,895.00,867.00,876.00,26680655158,30456181,1848,D,900.00
Isfahan.Steel,20170905,900.00,927.00,876.00,900.00,62310120915,69255535,3938,D,898.00
Isfahan.Steel,20170904,905.00,911.00,883.00,898.00,36036397769,40136208,2394,D,911.00
Isfahan.Steel,20170903,928.00,938.00,904.00,911.00,42010979850,46109233,2809,D,932.00
Isfahan.Steel,20170902,905.00,960.00,905.00,932.00,51396492447,55164329,3291,D,930.00
Isfahan.Steel,20170830,930.00,939.00,908.00,930.00,189940379524,204196613,8836,D,895.00
Isfahan.Steel,20170829,882.00,899.00,879.00,895.00,86772842562,96947889,3828,D,857.00
Isfahan.Steel,20170828,835.00,876.00,828.00,857.00,99919938128,116621066,5281,D,835.00
Isfahan.Steel,20170827,843.00,845.00,830.00,835.00,28845298773,34532536,1542,D,841.00
Isfahan.Steel,20170826,839.00,849.00,832.00,841.00,37004092099,43990692,2311,D,833.00
Isfahan.Steel,20170823,830.00,838.00,824.00,833.00,47582509921,57104304,2599,D,833.00
Isfahan.Steel,20170822,840.00,849.00,825.00,833.00,28407307605,34111708,1891,D,836.00
Isfahan.Steel,20170821,820.00,842.00,820.00,836.00,40436715111,48397702,2711,D,818.00
Isfahan.Steel,20170820,821.00,830.00,809.00,818.00,28052685510,34313335,1913,D,821.00
Isfahan.Steel,20170819,812.00,828.00,806.00,821.00,39368568592,47966010,2771,D,805.00
Isfahan.Steel,20170816,791.00,815.00,785.00,805.00,42233121948,52456539,2476,D,794.00
Isfahan.Steel,20170815,783.00,800.00,782.00,794.00,28850995186,36347309,2295,D,791.00
Isfahan.Steel,20170814,790.00,798.00,781.00,791.00,20593008464,26035259,3147,D,793.00
Isfahan.Steel,20170813,793.00,807.00,782.00,793.00,17892638773,22553879,1540,D,803.00
Isfahan.Steel,20170812,804.00,819.00,790.00,803.00,34329000021,42768861,2570,D,811.00
Isfahan.Steel,20170809,812.00,822.00,801.00,811.00,45337118576,55873905,3577,D,790.00
Isfahan.Steel,20170808,777.00,798.00,764.00,790.00,54280152167,68674503,3255,D,760.00
Isfahan.Steel,20170807,775.00,776.00,750.00,760.00,35512611788,46704434,2224,D,778.00
Isfahan.Steel,20170806,784.00,795.00,771.00,778.00,19009064632,24420335,1503,D,784.00
Isfahan.Steel,20170802,774.00,795.00,765.00,784.00,51857152853,66146583,4737,D,789.00
Isfahan.Steel,20170801,810.00,810.00,771.00,789.00,91056055651,115443940,4830,D,770.00
Isfahan.Steel,20170716,770.00,784.00,760.00,770.00,101787329802,132199041,6162,D,763.00
Isfahan.Steel,20170715,752.00,770.00,752.00,763.00,57903784079,75921183,4579,D,741.00
Isfahan.Steel,20170712,719.00,750.00,719.00,741.00,68564989828,92549507,4748,D,723.00
Isfahan.Steel,20170711,733.00,741.00,711.00,723.00,19032289130,26317311,1612,D,721.00
Isfahan.Steel,20170710,700.00,724.00,700.00,721.00,65361685676,90623663,4374,D,690.00
Isfahan.Steel,20170709,687.00,700.00,685.00,690.00,19519897535,28299890,1537,D,692.00
Isfahan.Steel,20170708,700.00,701.00,686.00,692.00,16563974525,23945748,1742,D,699.00
Isfahan.Steel,20170705,697.00,707.00,690.00,699.00,17941399874,25656175,1310,D,697.00
Isfahan.Steel,20170704,710.00,711.00,692.00,697.00,14182786674,20344812,1121,D,708.00
Isfahan.Steel,20170703,697.00,727.00,683.00,708.00,29584646833,41783637,2235,D,693.00
Isfahan.Steel,20170702,705.00,706.00,688.00,693.00,15036805267,21705474,1447,D,707.00
Isfahan.Steel,20170701,706.00,717.00,701.00,707.00,11078875883,15661215,1076,D,712.00
Isfahan.Steel,20170628,716.00,725.00,700.00,712.00,17407857100,24433105,2264,D,718.00
